context1	context2	label
I spent my [ spring ] holidays in Morocco .	the season of growth	T
[ home ] is where the heart is	an environment offering affection and security	T
in Japan most [ fish ] is eaten raw	the flesh of fish used as food	T
A normal [ year ] has 365 full days , but there are 366 days in a leap year .	a period of time containing 365 (or 366) days	T
There was a tension in the [ air ] which made me suspect an approaching storm .	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of	T
he said he was looking for the [ way ] out	any artifact consisting of a road or path affording passage from one place to another	T
Europe considered as a [ whole ]	all of something including all its component elements or parts	T
his [ move ] put him directly in my path	the act of changing location from one place to another	T
He needs to make this shot for [ par ] .	(golf) the standard number of strokes set for each hole on a golf course, or for the entire course	T
he was on the heavy [ side ]	an aspect of something (as contrasted with some other implied aspect)	T
a [ master ] of the violin	an artist of consummate skill	T
he has an artist 's [ eye ]	good discernment (either visually or as if visually)	T
A hermit does n't much care for [ civilization ] .	a particular society at a particular time and place	T
Can I have a [ word ] with you ?	a brief statement	T
while there 's [ life ] there 's hope	the condition of living or the state of being alive	T
during the firework display that ended the gala the [ noise ] reached 98 decibels	sound of any kind (especially unintelligible or dissonant sound)	T
That old piano is just a big dust [ collector ] .	a person who collects things	T
I do n't think we have the red one in your [ size ] .	the property resulting from being one of a series of graduated measurements (as of clothing)	T
Her cancer was in [ remission ] .	an abatement in intensity or degree (as in the manifestations of a disease)	T
a [ miasma ] of cigar smoke	unhealthy vapors rising from the ground or other sources	T
sugar [ loaf ]	a quantity of food (other than bread) formed in a particular shape	T
Our choice of concrete will have a tremendous [ impact ] on the building 's mechanical performance .	a forceful consequence; a strong effect	T
Where is the departure gate for [ flight ] 747 ? / Go straight down and to the right .	a scheduled trip by plane between designated airports	T
General Smith was placed in [ command ] .	the power or authority to command	T
he called each flip of the coin a new [ trial ]	the act of testing something	T
they funded research and [ development ]	act of improving by expanding or enlarging or refining	T
a [ drop ] of each sample was analyzed	a small indefinite quantity (especially of a liquid); ; ; ; --Kipling	T
moral [ bankruptcy ]	a state of complete lack of some abstract property	T
[ origin ] in sensation	the source of something's existence or from which it derives or is derived	T
hastened the [ period ] of time of his recovery	an amount of time	T
he was surrounded by a [ bevy ] of beauties in bathing attire	a large gathering of people of a particular type	T
the [ image ] of f(x ) = x^2 is the set of all non - negative real numbers if the domain of the function is the set of all real numbers	(mathematics) the set of values of the dependent variable for which a function is defined	T
All I need to weather a snowstorm is hot coffee , a warm fire , a good book and a comfortable [ chair ] .	a seat for one person, with a support for the back	T
such images define their sense of [ nationality ]	people having common origins or traditions and often comprising a nation	T
the [ head ] of the column advanced boldly	the front of a military formation or procession	T
she had heard her [ fill ] of gossip	a quantity sufficient to satisfy	T
[ tea ] has fragrant white flowers	a tropical evergreen shrub or small tree extensively cultivated in e.g. China and Japan and India; source of tea leaves	T
