context1	context2	label
I spent my [ spring ] holidays in Morocco .	the season of growth||season time_of_year	T
[ home ] is where the heart is	an environment offering affection and security||environment	T
in Japan most [ fish ] is eaten raw	the flesh of fish used as food||food solid_food	T
A normal [ year ] has 365 full days , but there are 366 days in a leap year .	a period of time containing 365 (or 366) days||time_period period_of_time period	T
There was a tension in the [ air ] which made me suspect an approaching storm .	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of||gas	T
he said he was looking for the [ way ] out	any artifact consisting of a road or path affording passage from one place to another||artifact artefact	T
Europe considered as a [ whole ]	all of something including all its component elements or parts||concept conception construct	T
his [ move ] put him directly in my path	the act of changing location from one place to another||change	T
He needs to make this shot for [ par ] .	(golf) the standard number of strokes set for each hole on a golf course, or for the entire course||score	T
he was on the heavy [ side ]	an aspect of something (as contrasted with some other implied aspect)||aspect facet	T
a [ master ] of the violin	an artist of consummate skill||artist creative_person	T
he has an artist 's [ eye ]	good discernment (either visually or as if visually)||sagacity sagaciousness judgment judgement discernment	T
A hermit does n't much care for [ civilization ] .	a particular society at a particular time and place||society	T
Can I have a [ word ] with you ?	a brief statement||statement	T
while there 's [ life ] there 's hope	the condition of living or the state of being alive||being beingness existence	T
during the firework display that ended the gala the [ noise ] reached 98 decibels	sound of any kind (especially unintelligible or dissonant sound)||sound	T
That old piano is just a big dust [ collector ] .	a person who collects things||person individual someone somebody mortal soul	T
I do n't think we have the red one in your [ size ] .	the property resulting from being one of a series of graduated measurements (as of clothing)||property	T
Her cancer was in [ remission ] .	an abatement in intensity or degree (as in the manifestations of a disease)||suspension respite reprieve hiatus abatement	T
a [ miasma ] of cigar smoke	unhealthy vapors rising from the ground or other sources||air_pollution	T
sugar [ loaf ]	a quantity of food (other than bread) formed in a particular shape||food solid_food	T
Our choice of concrete will have a tremendous [ impact ] on the building 's mechanical performance .	a forceful consequence; a strong effect||consequence effect outcome result event issue upshot	T
Where is the departure gate for [ flight ] 747 ? / Go straight down and to the right .	a scheduled trip by plane between designated airports||trip	T
General Smith was placed in [ command ] .	the power or authority to command||authority authorization authorisation potency dominance say-so	T
he called each flip of the coin a new [ trial ]	the act of testing something||attempt effort endeavor endeavour try	T
